,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,72-55,AWAY,3,8,9,4:58,2,9,0,3,7,0,3,6,1
1,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",23 4 10 22 24,72-55,AWAY,4,2,1,00:53,5,0,7,1,1,0,0,1,1
2,"ARIAS,AVA, PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",23 11 10 22 24,72-55,AWAY,4,1,2,01:29,0,3,2,1,1,0,1,2,1
3,"ARIAS,AVA, PROUTY,ANNA, NAMBISAN,ISHA, OR,CATHERINE, TIMKO,NICOLE",23 11 33 22 24,72-55,AWAY,4,4,3,02:00,0,2,5,0,3,0,3,6,1
4,"ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE",23 10 33 15 24,72-55,AWAY,4,1,2,00:40,2,0,7,1,1,0,1,1,1
5,"ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE",23 10 33 15 22,72-55,AWAY,4,6,6,03:59,4,9,5,2,6,0,4,6,2
6,"TIMKO,NICOLE, CHINTALA,ANISHA, LAFOND,LIV, GIBBS,SAVANNAH, OR,CATHERINE",24 10 43 4 22,72-55,AWAY,3,5,4,03:27,2,6,10,2,2,0,4,4,2
7,"TIMKO,NICOLE, BANEY,PAYTON, LAFOND,LIV, PROUTY,ANNA, OR,CATHERINE",24 15 43 11 22,72-55,AWAY,2,2,2,01:00,5,3,14,1,2,0,0,1,2
8,"TIMKO,NICOLE, BANEY,PAYTON, NAMBISAN,ISHA, HEYER,ALLIE, OR,CATHERINE",24 15 33 5 22,72-55,AWAY,4,2,3,00:52,1,0,12,0,0,0,1,1,2
9,"TIMKO,NICOLE, ARIAS,AVA, NAMBISAN,ISHA, PROUTY,ANNA, OR,CATHERINE",24 23 33 11 22,72-55,AWAY,4,1,1,00:42,0,2,11,0,1,0,1,1,2
10,"BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE",15 10 33 4 22,72-55,AWAY,3,4,3,02:05,7,3,13,1,3,2,1,3,3
11,"BANEY,PAYTON, CHINTALA,ANISHA, ARIAS,AVA, GIBBS,SAVANNAH, OR,CATHERINE",15 10 23 4 22,72-55,AWAY,3,4,4,02:47,5,3,9,0,3,2,2,5,3
12,"BANEY,PAYTON, CHINTALA,ANISHA, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE",15 10 23 24 22,72-55,AWAY,4,0,1,00:40,0,0,7,0,1,0,0,0,3
13,"BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE",15 10 33 24 22,72-55,AWAY,4,7,6,03:18,4,14,7,2,7,3,5,6,3
14,"BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA, TIMKO,NICOLE, GIBBS,SAVANNAH",15 10 33 24 4,72-55,AWAY,3,1,2,00:49,0,2,17,2,2,2,2,5,3
15,"ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, TIMKO,NICOLE, GIBBS,SAVANNAH",23 10 33 24 4,72-55,AWAY,4,1,0,00:21,2,0,19,0,0,0,0,0,3
16,"ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH",23 10 33 22 4,72-55,AWAY,4,2,3,01:17,3,2,17,0,2,0,0,1,4
17,"TIMKO,NICOLE, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON",24 10 33 22 15,72-55,AWAY,4,6,5,02:52,4,3,16,4,5,0,6,9,4
18,"HEYER,ALLIE, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH",5 10 33 22 4,72-55,AWAY,4,1,1,00:44,2,2,15,0,1,0,0,1,4
19,"HEYER,ALLIE, TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH",5 24 33 22 4,72-55,AWAY,4,1,1,00:44,1,2,15,0,1,0,0,1,4
20,"HEYER,ALLIE, TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, PROUTY,ANNA",5 24 33 22 11,72-55,AWAY,4,1,1,00:42,0,2,16,0,1,0,0,0,4
21,"HEYER,ALLIE, TIMKO,NICOLE, KATZ,JUSTINE, OR,CATHERINE, PROUTY,ANNA",5 24 2 22 11,72-55,AWAY,4,4,5,02:11,4,3,18,0,4,2,3,5,4
22,"HEYER,ALLIE, TIMKO,NICOLE, KATZ,JUSTINE, LAFOND,LIV, PROUTY,ANNA",5 24 2 43 11,72-55,AWAY,3,3,2,01:30,2,2,17,0,1,2,1,2,4
